trial,success,elapsed_seconds
1,1,4.89
2,1,2.19
3,1,3.02
4,1,2.37
5,1,4.81
6,1,2.21
7,1,4.91
8,1,2.16
9,1,2.31
10,1,4.95
11,1,2.25
12,1,2.17
13,1,2.21
14,1,5.03
15,1,4.83
