trial,success,elapsed_seconds
1,1,1.66
2,1,1.7
3,1,1.74
4,1,1.67
5,1,1.7
6,1,1.71
7,1,1.69
8,1,6.17
9,1,1.82
10,1,1.76
11,1,1.69
12,1,1.68
13,1,4.02
14,1,1.71
15,1,3.99
